Olfr,logFC,FDR,vivo
Olfr533,-2.220521181,6.60E-52,uOR
Olfr693,-2.768861612,3.64E-48,uOR
Olfr592,-2.314884634,1.21E-43,uOR
Olfr124,-2.039672008,8.21E-41,uOR
Olfr1162,-2.945264798,1.40E-36,uOR
Olfr923,-2.323530702,1.36E-35,uOR
Olfr598,-2.69648243,7.08E-35,uOR
Olfr1046,-2.754203389,8.53E-35,uOR
Olfr6,-1.863054124,2.22E-30,uOR
Olfr1264,-1.643520951,6.63E-30,uOR
Olfr1443,-2.432196275,1.24E-29,uOR
Olfr884,-2.447176907,1.01E-27,uOR
Olfr705,-2.475841285,2.65E-27,uOR
Olfr741,-1.798770363,5.80E-27,uOR
Olfr819,-2.481119604,1.60E-26,uOR
Olfr531,-1.903005225,5.35E-26,uOR
Olfr309,-1.643572889,1.76E-25,uOR
Olfr706,-2.598166036,6.44E-25,uOR
Olfr1463,-2.363020588,1.06E-24,uOR
Olfr59,-2.060830965,1.06E-24,uOR
Olfr1228,-1.719370847,6.16E-24,uOR
Olfr665,-2.401223233,9.61E-24,uOR
Olfr68,-3.131802906,9.32E-23,uOR
Olfr1437,-1.702390746,1.54E-22,uOR
Olfr532,-2.010692584,5.01E-22,uOR
Olfr541,-2.190182684,8.70E-22,uOR
Olfr878,-2.045308014,9.11E-22,uOR
Olfr1461,-3.144304019,9.11E-22,uOR
Olfr652,-2.336567406,9.95E-22,uOR
Olfr332,-2.138645053,1.42E-20,uOR
Olfr867,-2.224955069,2.06E-20,uOR
Olfr1015,-3.073937526,2.34E-20,uOR
Olfr788,-1.946197006,2.61E-20,uOR
Olfr601,-2.521466625,3.64E-20,uOR
Olfr610,-2.581711285,3.82E-20,uOR
Olfr535,-1.821877707,5.03E-20,uOR
Olfr17,-1.953192804,5.38E-20,uOR
Olfr1389,-2.03304939,1.75E-19,uOR
Olfr1325,-1.944551168,4.90E-19,uOR
Olfr868,-2.250098425,7.07E-19,uOR
Olfr523,-1.757256543,9.13E-19,uOR
Olfr146,-2.789353231,4.99E-18,uOR
Olfr1370,1.250412492,4.99E-18,oOR
Olfr231,-2.954616243,7.00E-18,uOR
Olfr522,-2.969590334,8.80E-18,uOR
Olfr1097,-1.926805722,1.10E-17,uOR
Olfr1427,-1.537646248,1.70E-17,uOR
Olfr787,-1.953513426,2.16E-17,uOR
Olfr683,-2.725018089,3.72E-17,uOR
Olfr1018,-1.328494664,4.65E-17,uOR
Olfr536,-1.246837834,4.99E-17,uOR
Olfr1252,-1.987997543,5.89E-17,uOR
Olfr455,-1.645348819,7.09E-17,uOR
Olfr281,-1.628180999,7.22E-17,uOR
Olfr220,1.20186127,8.59E-17,oOR
Olfr799,1.551148061,1.05E-16,oOR
Olfr1263,-1.648582231,1.13E-16,uOR
Olfr1253,-2.052860529,1.18E-16,uOR
Olfr60,-1.29960724,1.50E-16,uOR
Olfr1030,-2.477069996,1.75E-16,uOR
Olfr235,-1.878126684,5.90E-16,uOR
Olfr1396,1.366886158,7.05E-16,oOR
Olfr1297,1.142093288,7.72E-16,oOR
Olfr1099,-1.938321436,7.73E-16,uOR
Olfr1408,-2.206802545,9.53E-16,uOR
Olfr1154,-2.501190438,1.13E-15,uOR
Olfr921,-1.796327449,3.38E-15,uOR
Olfr204,1.176467145,3.97E-15,oOR
Olfr622,-2.564693753,4.02E-15,uOR
Olfr957,-2.490073733,4.91E-15,uOR
Olfr389,-1.608100297,5.09E-15,uOR
Olfr959,1.151767799,7.79E-15,oOR
Olfr1225,-2.353865139,8.49E-15,uOR
Olfr506,-2.027237377,1.00E-14,uOR
Olfr961,-2.638098245,1.02E-14,uOR
Olfr1262,-1.681151499,1.42E-14,uOR
Olfr910,-1.975483975,2.38E-14,uOR
Olfr167,-1.101593779,3.32E-14,uOR
Olfr32,-1.424767917,4.30E-14,uOR
Olfr190,-1.139904295,5.03E-14,uOR
Olfr1426,-2.227386524,5.47E-14,uOR
Olfr695,-1.895641906,5.47E-14,uOR
Olfr1140,-2.388250328,6.03E-14,uOR
Olfr539,1.296500726,6.50E-14,oOR
Olfr1258,-1.544014203,1.12E-13,uOR
Olfr694,-1.922870302,1.28E-13,uOR
Olfr1093,-2.87146559,1.49E-13,uOR
Olfr689,-1.698764484,1.83E-13,uOR
Olfr584,-2.150412624,1.93E-13,uOR
Olfr1366,-2.451380761,2.20E-13,uOR
Olfr1240,-1.72801136,2.28E-13,uOR
Olfr1206,-2.293028307,2.87E-13,uOR
Olfr129,1.112956953,3.84E-13,oOR
Olfr1047,-2.941537354,4.83E-13,uOR
Olfr618,-2.262007052,6.04E-13,uOR
Olfr69,-2.263796728,6.04E-13,uOR
Olfr801,-1.245218901,1.34E-12,uOR
Olfr452,-2.595885947,1.39E-12,uOR
Olfr392,-1.371789373,1.40E-12,uOR
Olfr668,-2.288637472,1.56E-12,uOR
Olfr1495,-3.761351564,1.56E-12,uOR
Olfr1229,-1.738974166,1.58E-12,uOR
Olfr370,1.034649286,1.79E-12,oOR
Olfr1259,-1.503841698,1.82E-12,uOR
Olfr1440,-1.038199173,2.09E-12,uOR
Olfr800,1.378098271,2.23E-12,oOR
Olfr136,-1.815907727,2.23E-12,uOR
Olfr1395,1.061126481,2.40E-12,oOR
Olfr1349,-1.703254914,2.94E-12,uOR
Olfr1155,-2.522305371,3.54E-12,uOR
Olfr195,-2.297354824,4.50E-12,uOR
Olfr1412,-1.994812676,4.50E-12,uOR
Olfr1036,-1.989675135,5.24E-12,uOR
Olfr1104,-1.885773497,5.53E-12,uOR
Olfr93,-2.330102887,7.32E-12,uOR
Olfr1448,1.0168438,7.82E-12,oOR
Olfr653,0.978104717,7.87E-12,oOR
Olfr303,-1.77863297,7.87E-12,uOR
Olfr1148,-2.172543901,8.79E-12,uOR
Olfr390,-1.52950597,9.71E-12,uOR
Olfr1044,-1.542244531,1.22E-11,uOR
Olfr147,-2.263930792,1.42E-11,uOR
Olfr1212,-1.487063691,1.65E-11,uOR
Olfr394,-1.941040556,1.70E-11,uOR
Olfr1255,-2.099505081,1.79E-11,uOR
Olfr411,-2.157167248,2.72E-11,uOR
Olfr786,-1.295709619,3.13E-11,uOR
Olfr19,-2.320875132,3.31E-11,uOR
Olfr211,-1.218483165,4.23E-11,uOR
Olfr12,-1.561209472,5.06E-11,uOR
Olfr703,-2.158284742,7.30E-11,uOR
Olfr145,1.03942257,7.37E-11,oOR
Olfr437,-2.060175365,9.07E-11,uOR
Olfr1491,-2.166190258,9.29E-11,uOR
Olfr224,-1.761416557,1.01E-10,uOR
Olfr1302,-2.487347236,1.22E-10,uOR
Olfr1222,-1.428651189,1.23E-10,uOR
Olfr1157,-2.126747244,1.82E-10,uOR
Olfr937,-2.654933978,1.82E-10,uOR
Olfr794,0.900446086,2.09E-10,oOR
Olfr544,1.320775291,2.38E-10,oOR
Olfr1290,-2.144567216,2.53E-10,uOR
Olfr96,-2.2195648,2.60E-10,uOR
Olfr449,0.896320999,2.65E-10,oOR
Olfr308,-1.466645884,2.93E-10,uOR
Olfr881,-2.846745053,3.16E-10,uOR
Olfr557,1.300083746,5.00E-10,oOR
Olfr813,-2.199263902,5.36E-10,uOR
Olfr250,-2.979859799,5.98E-10,uOR
Olfr102,0.930408093,5.99E-10,oOR
Olfr43,1.284606327,6.26E-10,oOR
Olfr743,0.916449812,6.30E-10,oOR
Olfr974,-2.291143087,6.70E-10,uOR
Olfr826,-2.157660495,7.11E-10,uOR
Olfr1176,-1.604935371,7.47E-10,uOR
Olfr948,-2.460793323,9.24E-10,uOR
Olfr1065,-1.913710149,9.50E-10,uOR
Olfr958,-1.944752343,9.74E-10,uOR
Olfr1511,-1.717813533,9.91E-10,uOR
Olfr168,0.873226078,1.02E-09,oOR
Olfr1211,-1.541335484,1.10E-09,uOR
Olfr849,-1.768102947,1.16E-09,uOR
Olfr675,-1.878647375,1.17E-09,uOR
Olfr569,-1.812253056,1.54E-09,uOR
Olfr358,-2.212263054,1.59E-09,uOR
Olfr142,-1.337180975,1.75E-09,uOR
Olfr132,-1.914258289,1.75E-09,uOR
Olfr1454,-2.09108343,1.97E-09,uOR
Olfr290,1.024261595,2.09E-09,oOR
Olfr1406,-1.643781931,2.25E-09,uOR
Olfr488,-1.639304791,2.92E-09,uOR
Olfr286,0.970154568,3.82E-09,oOR
Olfr1209,0.996263341,4.05E-09,oOR
Olfr54,-1.764168118,4.09E-09,uOR
Olfr67,-1.345295204,4.43E-09,uOR
Olfr116,-1.523025106,4.60E-09,uOR
Olfr558,1.062758863,4.67E-09,oOR
Olfr1196,-0.874327181,4.75E-09,uOR
Olfr65,0.896932837,5.41E-09,oOR
Olfr1123,-1.694012907,5.44E-09,uOR
Olfr1193,1.03231956,5.68E-09,oOR
Olfr571,0.941054813,5.69E-09,oOR
Olfr272,-2.668028118,5.91E-09,uOR
Olfr965,-1.997710342,5.99E-09,uOR
Olfr790,1.727983347,6.18E-09,oOR
Olfr1246,-1.582414803,7.04E-09,uOR
Olfr1056,1.234725951,7.30E-09,oOR
Olfr150,-1.997396593,7.33E-09,uOR
Olfr430,-1.847488665,7.77E-09,uOR
Olfr181,-2.196169887,7.81E-09,uOR
Olfr1029,-1.866265599,7.90E-09,uOR
Olfr1195,0.82519113,8.28E-09,oOR
Olfr1170,-1.437084461,9.18E-09,uOR
Olfr1043,-1.883513543,9.34E-09,uOR
Olfr62,-2.312562,9.48E-09,uOR
Olfr594,-1.873211887,1.11E-08,uOR
Olfr918,-2.101345985,1.25E-08,uOR
Olfr169,0.857112768,1.29E-08,oOR
Olfr1477,-1.803805463,1.29E-08,uOR
Olfr553,-1.153845152,1.33E-08,uOR
Olfr658,-2.220598046,1.38E-08,uOR
Olfr46,-1.819928069,1.38E-08,uOR
Olfr1490,-2.728651602,1.52E-08,uOR
Olfr681,-1.10640902,1.64E-08,uOR
Olfr317,-4.149628953,1.73E-08,uOR
Olfr1129,-1.599476907,1.73E-08,uOR
Olfr716,-1.830026259,1.74E-08,uOR
Olfr1364,-1.375766144,1.82E-08,uOR
Olfr1110,1.008162976,1.83E-08,oOR
Olfr194,2.036922808,1.83E-08,oOR
Olfr1260,-0.875884072,1.86E-08,uOR
Olfr887,-2.124365484,2.34E-08,uOR
Olfr365,0.800532174,2.59E-08,oOR
Olfr727,0.791858185,2.66E-08,oOR
Olfr824,-1.870408438,2.66E-08,uOR
Olfr835,-1.513590203,2.67E-08,uOR
Olfr843,-1.309014092,3.15E-08,uOR
Olfr1006,-2.169343153,3.17E-08,uOR
Olfr1034,-1.322429983,3.20E-08,uOR
Olfr1344,-3.0432326,3.51E-08,uOR
Olfr608,-2.015790657,3.55E-08,uOR
Olfr1447,-1.453850456,3.61E-08,uOR
Olfr870,-1.502312029,3.61E-08,uOR
Olfr339,0.986204935,3.77E-08,oOR
Olfr285,-1.280998494,3.77E-08,uOR
Olfr376,-1.606316013,3.99E-08,uOR
Olfr629,-2.120957402,4.00E-08,uOR
Olfr77,-1.101810896,4.07E-08,uOR
Olfr1340,-1.529457824,4.63E-08,uOR
Olfr1393,-1.626938496,4.99E-08,uOR
Olfr502,-1.483367796,5.20E-08,uOR
Olfr1500,-1.642277103,5.45E-08,uOR
Olfr1241,-1.319557817,5.74E-08,uOR
Olfr11,-1.683814445,5.80E-08,uOR
Olfr924,-1.712879825,5.95E-08,uOR
Olfr1417,-2.134799226,6.15E-08,uOR
Olfr48,-1.700924687,6.24E-08,uOR
Olfr141,-1.930828139,7.01E-08,uOR
Olfr1509,1.016115232,7.87E-08,oOR
Olfr845,-1.70649763,7.88E-08,uOR
Olfr1178,-1.262223567,7.92E-08,uOR
Olfr273,-1.489794863,8.68E-08,uOR
Olfr640,-1.62061799,8.68E-08,uOR
Olfr101,0.965696286,8.79E-08,oOR
Olfr1352,-1.441176335,9.49E-08,uOR
Olfr847,-1.462408173,1.01E-07,uOR
Olfr596,-1.525380104,1.12E-07,uOR
Olfr263,-1.454576046,1.16E-07,uOR
Olfr1205,-1.415365314,1.19E-07,uOR
Olfr726,-0.868691988,1.22E-07,uOR
Olfr45,-1.808391221,1.22E-07,uOR
Olfr44,-2.659233074,1.29E-07,uOR
Olfr125,-1.239565775,1.30E-07,uOR
Olfr1242,-1.578060953,1.64E-07,uOR
Olfr467,-1.679397368,1.72E-07,uOR
Olfr1392,-1.471415062,1.80E-07,uOR
Olfr99,-1.260664862,2.14E-07,uOR
Olfr698,-1.41286022,2.17E-07,uOR
Olfr1324,-1.789249068,2.48E-07,uOR
Olfr524,-1.28545559,2.57E-07,uOR
Olfr1045,-1.996606948,2.58E-07,uOR
Olfr851,-1.130711309,2.68E-07,uOR
Olfr671,-3.224607365,2.68E-07,uOR
Olfr222,-1.442568321,2.68E-07,uOR
Olfr228,-1.476017127,2.76E-07,uOR
Olfr1121,-1.877625833,2.82E-07,uOR
Olfr1347,1.279888297,3.49E-07,oOR
Olfr670,-2.063503067,3.57E-07,uOR
Olfr1354,-1.591841138,4.73E-07,uOR
Olfr1362,0.866410916,4.73E-07,oOR
Olfr56,1.334003207,4.73E-07,oOR
Olfr111,1.403081723,4.75E-07,oOR
Olfr30,-1.943576673,4.93E-07,uOR
Olfr1444,-3.393442405,5.39E-07,uOR
Olfr1256,-1.041196894,5.55E-07,uOR
Olfr994,-1.813950796,5.57E-07,uOR
Olfr1133,-2.293009155,5.72E-07,uOR
Olfr1200,-1.299169593,5.78E-07,uOR
Olfr1085,-1.870274547,5.81E-07,uOR
Olfr715,0.938986826,6.61E-07,oOR
Olfr1280,0.746728797,6.76E-07,oOR
Olfr424,-2.780623438,7.14E-07,uOR
Olfr1197,0.87890521,7.51E-07,oOR
Olfr525,-1.195815365,7.72E-07,uOR
Olfr791,-1.498176434,8.05E-07,uOR
Olfr2,-1.750012169,8.35E-07,uOR
Olfr78,0.868906164,8.51E-07,oOR
Olfr606,-3.153723223,8.51E-07,uOR
Olfr599,-1.56023795,8.63E-07,uOR
Olfr16,0.743561248,9.33E-07,oOR
Olfr1238,-1.314742616,1.00E-06,uOR
Olfr1037,-1.736972718,1.01E-06,uOR
Olfr1384,-1.422078995,1.07E-06,uOR
Olfr1471,-1.412181042,1.13E-06,uOR
Olfr745,-1.445376589,1.13E-06,uOR
