K,Olfr,Normalized
41,Olfr1362,2.51
103,Olfr1508,2.11
5,Olfr204,1.75
48,Olfr449,1.53
171,Olfr644,1.30
186,Olfr733,1.13
0,Olfr539,1.00
136,Olfr1364,0.89
8,Olfr1057,0.68
33,Olfr168,0.67
119,Olfr544,0.58
184,Olfr1226,0.58
19,Olfr1239,0.57
172,Olfr666,0.57
84,Olfr1361,0.52
40,Olfr715,0.49
109,Olfr1336,0.48
23,Olfr194,0.47
17,Olfr1250,0.44
102,Olfr15,0.40
277,Olfr103,0.39
46,Olfr1370,0.34
101,Olfr558,0.32
26,Olfr743,0.30
13,Olfr740,0.28
98,Olfr1395,0.26
124,Olfr1414,0.23
166,Olfr1000,0.20
135,Olfr1340,0.20
235,Olfr912,0.20
89,Olfr2,0.19
43,Olfr218,0.19
183,Olfr1442,0.17
138,Olfr1392,0.16
140,Olfr6,0.14
321,Olfr919,0.14
111,Olfr220,0.14
30,Olfr145,0.13
153,Olfr610,0.13
7,Olfr339,0.12
120,Olfr545,0.12
121,Olfr571,0.11
309,Olfr424,0.11
163,Olfr32,0.11
27,Olfr800,0.11
67,Olfr433,0.11
52,Olfr206,0.10
15,Olfr1391,0.10
86,Olfr31,0.10
305,Olfr307,0.09
144,Olfr768,0.09
100,Olfr414,0.09
4,Olfr970,0.09
112,Olfr78,0.08
162,Olfr1258,0.08
190,Olfr1267-ps1,0.08
61,Olfr967,0.08
306,Olfr332,0.08
281,Olfr1044,0.08
105,Olfr351,0.07
221,Olfr151,0.07
94,Olfr1388,0.07
83,Olfr716,0.07
70,Olfr228,0.06
104,Olfr131,0.06
141,Olfr728,0.05
134,Olfr124,0.05
97,Olfr1297,0.05
21,Olfr1079,0.05
164,Olfr630,0.05
115,Olfr101,0.05
173,Olfr214,0.05
148,Olfr11,0.04
223,Olfr146,0.04
68,Olfr1234,0.04
301,Olfr212,0.04
47,Olfr577,0.04
185,Olfr1219,0.04
45,Olfr959,0.04
57,Olfr247,0.04
161,Olfr749,0.04
182,Olfr172,0.03
191,Olfr599,0.03
205,Olfr1160,0.03
217,Olfr1494,0.03
307,Olfr381,0.03
284,Olfr1135,0.03
99,Olfr1509,0.03
169,Olfr677,0.03
14,Olfr1173,0.03
232,Olfr1351,0.02
288,Olfr1180,0.02
56,Olfr346,0.02
248,Olfr1137,0.02
201,Olfr99,0.02
292,Olfr1323,0.02
11,Olfr812,0.02
95,Olfr59,0.02
297,Olfr1489,0.02
18,Olfr432,0.02
126,Olfr640,0.02
202,Olfr362,0.02
72,Olfr1312,0.02
287,Olfr1161,0.02
71,Olfr791,0.02
293,Olfr1366,0.02
302,Olfr231,0.02
220,Olfr70,0.02
208,Olfr992,0.01
229,Olfr270,0.01
75,Olfr877,0.01
286,Olfr1151,0.01
289,Olfr1228,0.01
195,Olfr683,0.01
278,Olfr1030,0.01
299,Olfr1500,0.01
319,Olfr722,0.01
282,Olfr1094,0.01
294,Olfr1444,0.01
29,Olfr1209,0.01
218,Olfr701,0.01
34,Olfr1195,0.01
296,Olfr1484,0.01
63,Olfr1170,0.01
189,Olfr987,0.01
231,Olfr1417,0.01
69,Olfr1047,0.01
199,Olfr1356,0.01
44,Olfr56,0.01
22,Olfr794,0.01
290,Olfr1284,0.01
198,Olfr871,0.01
197,Olfr1352,0.01
73,Olfr773,0.00
174,Olfr1032,0.00
128,Olfr639,0.00
193,Olfr656,0.00
180,Olfr1243,0.00
338,Olfr123,0.00
279,Olfr1031,0.00
206,Olfr1157,0.00
207,Olfr1451,0.00
160,Olfr1018,0.00
28,Olfr790,0.00
0,Olfr541,0.00
194,Olfr692,0.00
204,Olfr974,0.00
192,Olfr622,0.00
313,Olfr52,0.00
316,Olfr585,0.00
291,Olfr1282,0.00
178,Olfr690,0.00
179,Olfr73,0.00
323,Olfr943,0.00
20,Olfr1056,0.00
39,Olfr653,0.00
55,Olfr461,0.00
106,Olfr366,0.00
246,Olfr893,-0.01
200,Olfr829,-0.01
85,Olfr1406,-0.01
145,Olfr802,-0.01
322,Olfr981,-0.01
212,Olfr1440,-0.01
269,Olfr531,-0.01
315,Olfr54,-0.01
175,Olfr735,-0.01
215,Olfr1233,-0.01
114,Olfr1347,-0.01
32,Olfr799,-0.01
66,Olfr1247,-0.01
123,Olfr522,-0.01
311,Olfr459,-0.01
196,Olfr96,-0.01
216,Olfr713,-0.01
318,Olfr703,-0.01
303,Olfr282,-0.01
24,Olfr1303,-0.01
312,Olfr518,-0.01
